"","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"283","sp|O55222|ILK_MOUSE","sp|O55222|ILK_MOUSE","14","14","14","Integrin-linked protein kinase",1,14,14,14
"284","sp|O55234|PSB5_MOUSE","sp|O55234|PSB5_MOUSE","2","2","2","Proteasome subunit beta type-5",1,2,2,2
"285","sp|O70133|DHX9_MOUSE","sp|O70133|DHX9_MOUSE","40","40","40","ATP-dependent RNA helicase A",1,40,40,40
"286","sp|O70145|NCF2_MOUSE","sp|O70145|NCF2_MOUSE","14","14","14","Neutrophil cytosol factor 2",1,14,14,14
"287","sp|O70152|DPM1_MOUSE","sp|O70152|DPM1_MOUSE","10","10","10","Dolichol-phosphate mannosyltransferase subunit 1",1,10,10,10
"288","sp|O70172|PI42A_MOUSE","sp|O70172|PI42A_MOUSE","6","6","4","Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha",1,6,6,4
"289","sp|O70194|EIF3D_MOUSE","sp|O70194|EIF3D_MOUSE","8","8","8","Eukaryotic translation initiation factor 3 subunit D",1,8,8,8
"290","sp|O70251|EF1B_MOUSE","sp|O70251|EF1B_MOUSE","3","3","3","Elongation factor 1-beta",1,3,3,3
"291","sp|O70252|HMOX2_MOUSE","sp|O70252|HMOX2_MOUSE","10","10","10","Heme oxygenase 2",1,10,10,10
"292","sp|O70293|GRK6_MOUSE;sp|Q8VEB1|GRK5_MOUSE","sp|O70293|GRK6_MOUSE;sp|Q8VEB1|GRK5_MOUSE","2;1","2;1","2;1","G protein-coupled receptor kinase 6;G protein-coupled receptor kinase 5",2,2,2,2
"293","sp|O70309|ITB5_MOUSE","sp|O70309|ITB5_MOUSE","3","3","3","Integrin beta-5",1,3,3,3
"294","sp|O70310|NMT1_MOUSE","sp|O70310|NMT1_MOUSE","7","7","7","Glycylpeptide N-tetradecanoyltransferase 1",1,7,7,7
"295","sp|O70318|E41L2_MOUSE","sp|O70318|E41L2_MOUSE","15","15","15","Band 4.1-like protein 2",1,15,15,15
"296","sp|O70325|GPX4_MOUSE","sp|O70325|GPX4_MOUSE","6","6","6","Phospholipid hydroperoxide glutathione peroxidase",1,6,6,6
"297","sp|O70370|CATS_MOUSE","sp|O70370|CATS_MOUSE","10","10","10","Cathepsin S",1,10,10,10
"298","sp|O70378|EMC8_MOUSE","sp|O70378|EMC8_MOUSE","4","4","4","ER membrane protein complex subunit 8",1,4,4,4
"299","sp|O70400|PDLI1_MOUSE","sp|O70400|PDLI1_MOUSE","15","15","15","PDZ and LIM domain protein 1",1,15,15,15
"300","sp|O70404|VAMP8_MOUSE","sp|O70404|VAMP8_MOUSE","6","6","6","Vesicle-associated membrane protein 8",1,6,6,6
"301","sp|O70435|PSA3_MOUSE","sp|O70435|PSA3_MOUSE","11","11","11","Proteasome subunit alpha type-3",1,11,11,11
"302","sp|O70439|STX7_MOUSE","sp|O70439|STX7_MOUSE","10","10","10","Syntaxin-7",1,10,10,10
"303","sp|O70456|1433S_MOUSE","sp|O70456|1433S_MOUSE","12","8","8","14-3-3 protein sigma",1,12,8,8
"304","sp|O70475|UGDH_MOUSE","sp|O70475|UGDH_MOUSE","4","4","4","UDP-glucose 6-dehydrogenase",1,4,4,4
"305","sp|O70492|SNX3_MOUSE","sp|O70492|SNX3_MOUSE","10","10","8","Sorting nexin-3",1,10,10,8
"306","sp|O70493|SNX12_MOUSE","sp|O70493|SNX12_MOUSE","6","4","4","Sorting nexin-12",1,6,4,4
"307","sp|O70494|SP3_MOUSE","sp|O70494|SP3_MOUSE","2","2","2","Transcription factor Sp3",1,2,2,2
"308","sp|O70503|DHB12_MOUSE","sp|O70503|DHB12_MOUSE","10","10","10","Very-long-chain 3-oxoacyl-CoA reductase",1,10,10,10
"309","sp|O70566|DIAP2_MOUSE","sp|O70566|DIAP2_MOUSE","3","3","3","Protein diaphanous homolog 2",1,3,3,3
"310","sp|O70589|CSKP_MOUSE","sp|O70589|CSKP_MOUSE","2","2","2","Peripheral plasma membrane protein CASK",1,2,2,2
"311","sp|O70591|PFD2_MOUSE","sp|O70591|PFD2_MOUSE","3","3","3","Prefoldin subunit 2",1,3,3,3
"312","sp|O88312|AGR2_MOUSE","sp|O88312|AGR2_MOUSE","2","2","2","Anterior gradient protein 2 homolog",1,2,2,2
"313","sp|O88342|WDR1_MOUSE","sp|O88342|WDR1_MOUSE","40","40","40","WD repeat-containing protein 1",1,40,40,40
"314","sp|O88351|IKKB_MOUSE;sp|Q60680|IKKA_MOUSE","sp|O88351|IKKB_MOUSE","3;1","3;1","3;1","Inhibitor of nuclear factor kappa-B kinase subunit beta",2,3,3,3
"315","sp|O88379|BAZ1A_MOUSE","sp|O88379|BAZ1A_MOUSE","2","2","2","Bromodomain adjacent to zinc finger domain protein 1A",1,2,2,2
"316","sp|O88384|VTI1B_MOUSE","sp|O88384|VTI1B_MOUSE","6","6","6","Vesicle transport through interaction with t-SNAREs homolog 1B",1,6,6,6
"317","sp|O88441|MTX2_MOUSE","sp|O88441|MTX2_MOUSE","2","2","2","Metaxin-2",1,2,2,2
"318","sp|O88456|CPNS1_MOUSE;sp|Q9D7J7|CPNS2_MOUSE","sp|O88456|CPNS1_MOUSE","13;1","13;1","13;1","Calpain small subunit 1",2,13,13,13
"319","sp|O88487|DC1I2_MOUSE;sp|O88485|DC1I1_MOUSE","sp|O88487|DC1I2_MOUSE","11;1","11;1","11;1","Cytoplasmic dynein 1 intermediate chain 2",2,11,11,11
"320","sp|O88522|NEMO_MOUSE","sp|O88522|NEMO_MOUSE","2","2","2","NF-kappa-B essential modulator",1,2,2,2
"321","sp|O88531|PPT1_MOUSE","sp|O88531|PPT1_MOUSE","6","6","6","Palmitoyl-protein thioesterase 1",1,6,6,6
"322","sp|O88543|CSN3_MOUSE","sp|O88543|CSN3_MOUSE","5","5","5","COP9 signalosome complex subunit 3",1,5,5,5
"323","sp|O88544|CSN4_MOUSE","sp|O88544|CSN4_MOUSE","7","7","7","COP9 signalosome complex subunit 4",1,7,7,7
"324","sp|O88569|ROA2_MOUSE","sp|O88569|ROA2_MOUSE","36","36","36","Heterogeneous nuclear ribonucleoproteins A2/B1",1,36,36,36
"325","sp|O88587|COMT_MOUSE","sp|O88587|COMT_MOUSE","6","6","6","Catechol O-methyltransferase",1,6,6,6
"326","sp|O88593|PGRP1_MOUSE","sp|O88593|PGRP1_MOUSE","3","3","3","Peptidoglycan recognition protein 1",1,3,3,3
"327","sp|O88653|LTOR3_MOUSE","sp|O88653|LTOR3_MOUSE","3","3","3","Ragulator complex protein LAMTOR3",1,3,3,3
"328","sp|O88668|CREG1_MOUSE","sp|O88668|CREG1_MOUSE","4","4","4","Protein CREG1",1,4,4,4
"329","sp|O88685|PRS6A_MOUSE","sp|O88685|PRS6A_MOUSE","14","14","14","26S proteasome regulatory subunit 6A",1,14,14,14
"330","sp|O88712|CTBP1_MOUSE","sp|O88712|CTBP1_MOUSE","10","10","6","C-terminal-binding protein 1",1,10,10,6
"331","sp|O88746|TOM1_MOUSE","sp|O88746|TOM1_MOUSE","8","8","8","Target of Myb protein 1",1,8,8,8
"332","sp|O88792|JAM1_MOUSE","sp|O88792|JAM1_MOUSE","3","3","3","Junctional adhesion molecule A",1,3,3,3
"333","sp|O88844|IDHC_MOUSE","sp|O88844|IDHC_MOUSE","25","24","24","Isocitrate dehydrogenase [NADP] cytoplasmic",1,25,24,24
"334","sp|O88879|APAF_MOUSE","sp|O88879|APAF_MOUSE","3","3","3","Apoptotic protease-activating factor 1",1,3,3,3
"335","sp|O88939|ZBT7A_MOUSE","sp|O88939|ZBT7A_MOUSE","2","2","2","Zinc finger and BTB domain-containing protein 7A",1,2,2,2
"336","sp|O88952|LIN7C_MOUSE","sp|O88952|LIN7C_MOUSE","2","2","2","Protein lin-7 homolog C",1,2,2,2
"337","sp|O88958|GNPI1_MOUSE;sp|Q9CRC9|GNPI2_MOUSE","sp|O88958|GNPI1_MOUSE","10;2","10;2","10;2","Glucosamine-6-phosphate isomerase 1",2,10,10,10
"338","sp|O88983|STX8_MOUSE","sp|O88983|STX8_MOUSE","4","4","4","Syntaxin-8",1,4,4,4
"339","sp|O89017|LGMN_MOUSE","sp|O89017|LGMN_MOUSE","6","6","6","Legumain",1,6,6,6
"340","sp|O89023|TPP1_MOUSE","sp|O89023|TPP1_MOUSE","5","5","5","Tripeptidyl-peptidase 1",1,5,5,5
"341","sp|O89053|COR1A_MOUSE","sp|O89053|COR1A_MOUSE","32","32","32","Coronin-1A",1,32,32,32
"342","sp|O89079|COPE_MOUSE","sp|O89079|COPE_MOUSE","9","9","9","Coatomer subunit epsilon",1,9,9,9
"343","sp|O89086|RBM3_MOUSE","sp|O89086|RBM3_MOUSE","12","12","12","RNA-binding protein 3",1,12,12,12
"344","sp|O89100|GRAP2_MOUSE","sp|O89100|GRAP2_MOUSE","3","3","3","GRB2-related adaptor protein 2",1,3,3,3
"345","sp|O89110|CASP8_MOUSE","sp|O89110|CASP8_MOUSE","9","9","9","Caspase-8",1,9,9,9
"346","sp|O89116|VTI1A_MOUSE","sp|O89116|VTI1A_MOUSE","2","2","2","Vesicle transport through interaction with t-SNAREs homolog 1A",1,2,2,2
"347","sp|P00329|ADH1_MOUSE","sp|P00329|ADH1_MOUSE","14","14","14","Alcohol dehydrogenase 1",1,14,14,14
"348","sp|P00405|COX2_MOUSE","sp|P00405|COX2_MOUSE","7","7","7","Cytochrome c oxidase subunit 2",1,7,7,7
"349","sp|P00493|HPRT_MOUSE","sp|P00493|HPRT_MOUSE","11","11","11","Hypoxanthine-guanine phosphoribosyltransferase",1,11,11,11
"350","sp|P00920|CAH2_MOUSE","sp|P00920|CAH2_MOUSE","16","16","16","Carbonic anhydrase 2",1,16,16,16
"351","sp|P01027|CO3_MOUSE","sp|P01027|CO3_MOUSE","9","9","9","Complement C3",1,9,9,9
"352","sp|P01634|KV5A2_MOUSE;sp|P01657|KV3A5_MOUSE;sp|P01632|KV1A1_MOUSE;sp|P01633|KV5A1_MOUSE","sp|P01634|KV5A2_MOUSE","5;1;1;1","5;1;1;1","5;1;1;1","Ig kappa chain V-V region MOPC 21",4,5,5,5
"353","sp|P01831|THY1_MOUSE","sp|P01831|THY1_MOUSE","4","4","4","Thy-1 membrane glycoprotein",1,4,4,4
"354","sp|P01837|IGKC_MOUSE","sp|P01837|IGKC_MOUSE","13","13","13","Immunoglobulin kappa constant",1,13,13,13
"355","sp|P01864|GCAB_MOUSE;sp|P01863|GCAA_MOUSE;sp|P01865|GCAM_MOUSE","sp|P01864|GCAB_MOUSE;sp|P01863|GCAA_MOUSE;sp|P01865|GCAM_MOUSE","3;2;2","3;2;2","3;2;2","Ig gamma-2A chain C region secreted form;Ig gamma-2A chain C region, A allele;Ig gamma-2A chain C region, membrane-bound form",3,3,3,3
"356","sp|P01872|IGHM_MOUSE","sp|P01872|IGHM_MOUSE","7","7","7","Immunoglobulin heavy constant mu",1,7,7,7
"357","sp|P01887|B2MG_MOUSE","sp|P01887|B2MG_MOUSE","2","2","2","Beta-2-microglobulin",1,2,2,2
"358","sp|P01899|HA11_MOUSE;sp|P01897|HA1L_MOUSE;sp|P01896|HA1Z_MOUSE;sp|P14427|HA14_MOUSE","sp|P01899|HA11_MOUSE;sp|P01897|HA1L_MOUSE","15;10;3;3","15;10;3;3","9;6;2;0","H-2 class I histocompatibility antigen, D-B alpha chain;H-2 class I histocompatibility antigen, L-D alpha chain",4,15,15,9
"359","sp|P01901|HA1B_MOUSE;sp|P04223|HA1K_MOUSE;sp|P14426|HA13_MOUSE;sp|P14428|HA1Q_MOUSE;sp|P03991|HA1W_MOUSE","sp|P01901|HA1B_MOUSE;sp|P04223|HA1K_MOUSE","13;7;6;5;5","10;4;4;2;2","7;4;2;2;2","H-2 class I histocompatibility antigen, K-B alpha chain;H-2 class I histocompatibility antigen, K-K alpha chain",5,13,10,7
"360","sp|P01942|HBA_MOUSE","sp|P01942|HBA_MOUSE","14","14","12","Hemoglobin subunit alpha",1,14,14,12
"361","sp|P02088|HBB1_MOUSE;sp|P02104|HBE_MOUSE","sp|P02088|HBB1_MOUSE","18;1","18;1","12;0","Hemoglobin subunit beta-1",2,18,18,12
"362","sp|P84244|H33_MOUSE;sp|P02301|H3C_MOUSE","sp|P84244|H33_MOUSE;sp|P02301|H3C_MOUSE","18;18","2;2","2;2","Histone H3.3;Histone H3.3C",2,18,2,2
"363","sp|P02463|CO4A1_MOUSE","sp|P02463|CO4A1_MOUSE","9","9","9","Collagen alpha-1(IV) chain",1,9,9,9
"364","sp|P02468|LAMC1_MOUSE","sp|P02468|LAMC1_MOUSE","42","42","42","Laminin subunit gamma-1",1,42,42,42
"365","sp|P02469|LAMB1_MOUSE","sp|P02469|LAMB1_MOUSE","4","4","4","Laminin subunit beta-1",1,4,4,4
"366","sp|P04117|FABP4_MOUSE;sp|P24526|MYP2_MOUSE;sp|O08716|FABP9_MOUSE","sp|P04117|FABP4_MOUSE","7;1;1","7;1;1","7;1;1","Fatty acid-binding protein, adipocyte",3,7,7,7
"367","sp|P04231|HB23_MOUSE;sp|P20040|HB24_MOUSE;sp|P18468|HB2I_MOUSE;sp|P04230|HB21_MOUSE","sp|P04231|HB23_MOUSE;sp|P20040|HB24_MOUSE;sp|P18468|HB2I_MOUSE;sp|P04230|HB21_MOUSE","4;4;4;3","4;4;4;3","2;2;2;1","H-2 class II histocompatibility antigen, E-S beta chain (Fragment);H-2 class II histocompatibility antigen, E-Q beta chain;H-2 class II histocompatibility antigen, I-A beta chain;H-2 class II histocompatibility antigen, E-B beta chain",4,4,4,2
"368","sp|P04441|HG2A_MOUSE","sp|P04441|HG2A_MOUSE","9","9","9","H-2 class II histocompatibility antigen gamma chain",1,9,9,9
"369","sp|P04919|B3AT_MOUSE","sp|P04919|B3AT_MOUSE","16","16","16","Band 3 anion transport protein",1,16,16,16
"370","sp|P05063|ALDOC_MOUSE","sp|P05063|ALDOC_MOUSE","8","5","5","Fructose-bisphosphate aldolase C",1,8,5,5
"371","sp|P05064|ALDOA_MOUSE","sp|P05064|ALDOA_MOUSE","32","32","29","Fructose-bisphosphate aldolase A",1,32,32,29
"372","sp|P05132|KAPCA_MOUSE","sp|P05132|KAPCA_MOUSE","6","6","3","cAMP-dependent protein kinase catalytic subunit alpha",1,6,6,3
"373","sp|P05201|AATC_MOUSE","sp|P05201|AATC_MOUSE","12","12","12","Aspartate aminotransferase, cytoplasmic",1,12,12,12
"374","sp|P05202|AATM_MOUSE","sp|P05202|AATM_MOUSE","23","23","23","Aspartate aminotransferase, mitochondrial",1,23,23,23
"375","sp|P05555|ITAM_MOUSE","sp|P05555|ITAM_MOUSE","14","14","14","Integrin alpha-M",1,14,14,14
"376","sp|P05977|MYL1_MOUSE","sp|P05977|MYL1_MOUSE","7","6","5","Myosin light chain 1/3, skeletal muscle isoform",1,7,6,5
"377","sp|P06151|LDHA_MOUSE;sp|P00342|LDHC_MOUSE","sp|P06151|LDHA_MOUSE","32;2","32;2","30;1","L-lactate dehydrogenase A chain",2,32,32,30
"378","sp|P06240|LCK_MOUSE","sp|P06240|LCK_MOUSE","3","3","2","Proto-oncogene tyrosine-protein kinase LCK",1,3,3,2
"379","sp|P06330|HVM51_MOUSE;sp|P01757|HVM13_MOUSE;sp|P01756|HVM12_MOUSE","sp|P06330|HVM51_MOUSE;sp|P01757|HVM13_MOUSE;sp|P01756|HVM12_MOUSE","2;1;1","2;1;1","2;1;1","Ig heavy chain V region AC38 205.12;Ig heavy chain V region J558;Ig heavy chain V region MOPC 104E",3,2,2,2
"380","sp|P06745|G6PI_MOUSE;CON__Q3ZBD7","sp|P06745|G6PI_MOUSE","34;8","34;8","34;8","Glucose-6-phosphate isomerase",2,34,34,34
"381","sp|P21447|MDR1A_MOUSE;sp|P06795|MDR1B_MOUSE","sp|P21447|MDR1A_MOUSE;sp|P06795|MDR1B_MOUSE","4;4","4;4","4;4","ATP-dependent translocase ABCB1;ATP-dependent translocase ABCB1",2,4,4,4
"382","sp|P06797|CATL1_MOUSE","sp|P06797|CATL1_MOUSE","5","5","5","Procathepsin L",1,5,5,5
"383","sp|P06800|PTPRC_MOUSE","sp|P06800|PTPRC_MOUSE","35","35","35","Receptor-type tyrosine-protein phosphatase C",1,35,35,35
"384","sp|P06801|MAOX_MOUSE","sp|P06801|MAOX_MOUSE","3","3","3","NADP-dependent malic enzyme",1,3,3,3
"385","sp|P07091|S10A4_MOUSE","sp|P07091|S10A4_MOUSE","7","7","7","Protein S100-A4",1,7,7,7
"386","sp|P07309|TTHY_MOUSE","sp|P07309|TTHY_MOUSE","6","6","6","Transthyretin",1,6,6,6
"387","sp|P07356|ANXA2_MOUSE","sp|P07356|ANXA2_MOUSE","54","54","54","Annexin A2",1,54,54,54
"388","sp|P07724|ALBU_MOUSE","sp|P07724|ALBU_MOUSE","38","38","37","Albumin",1,38,38,37
"389","sp|P07759|SPA3K_MOUSE","sp|P07759|SPA3K_MOUSE","4","4","2","Serine protease inhibitor A3K",1,4,4,2
"390","sp|P07901|HS90A_MOUSE","sp|P07901|HS90A_MOUSE","61","42","42","Heat shock protein HSP 90-alpha",1,61,42,42
"391","sp|P08003|PDIA4_MOUSE","sp|P08003|PDIA4_MOUSE","38","38","38","Protein disulfide-isomerase A4",1,38,38,38
"392","sp|P08030|APT_MOUSE","sp|P08030|APT_MOUSE","9","9","9","Adenine phosphoribosyltransferase",1,9,9,9
"393","sp|P08032|SPTA1_MOUSE","sp|P08032|SPTA1_MOUSE","15","15","15","Spectrin alpha chain, erythrocytic 1",1,15,15,15
"394","sp|P08071|TRFL_MOUSE","sp|P08071|TRFL_MOUSE","44","44","44","Lactotransferrin",1,44,44,44
"395","sp|P08074|CBR2_MOUSE","sp|P08074|CBR2_MOUSE","38","38","36","Carbonyl reductase [NADPH] 2",1,38,38,36
"396","sp|P08103|HCK_MOUSE","sp|P08103|HCK_MOUSE","11","10","10","Tyrosine-protein kinase HCK",1,11,10,10
"397","sp|P08113|ENPL_MOUSE","sp|P08113|ENPL_MOUSE","59","57","57","Endoplasmin",1,59,57,57
"398","sp|P08122|CO4A2_MOUSE","sp|P08122|CO4A2_MOUSE","9","9","9","Collagen alpha-2(IV) chain",1,9,9,9
"399","sp|P08207|S10AA_MOUSE","sp|P08207|S10AA_MOUSE","6","6","6","Protein S100-A10",1,6,6,6
"400","sp|P08226|APOE_MOUSE","sp|P08226|APOE_MOUSE","2","2","2","Apolipoprotein E",1,2,2,2
"401","sp|P08228|SODC_MOUSE","sp|P08228|SODC_MOUSE","9","9","9","Superoxide dismutase [Cu-Zn]",1,9,9,9
"402","sp|P08249|MDHM_MOUSE","sp|P08249|MDHM_MOUSE","31","31","31","Malate dehydrogenase, mitochondrial",1,31,31,31
"403","sp|P08752|GNAI2_MOUSE;sp|B2RSH2|GNAI1_MOUSE","sp|P08752|GNAI2_MOUSE;sp|B2RSH2|GNAI1_MOUSE","29;15","29;15","19;5","Guanine nucleotide-binding protein G(i) subunit alpha-2;Guanine nucleotide-binding protein G(i) subunit alpha-1",2,29,29,19
"404","sp|P08775|RPB1_MOUSE","sp|P08775|RPB1_MOUSE","15","15","15","DNA-directed RNA polymerase II subunit RPB1",1,15,15,15
"405","sp|P08905|LYZ2_MOUSE","sp|P08905|LYZ2_MOUSE","10","10","5","Lysozyme C-2",1,10,10,5
"406","sp|P09055|ITB1_MOUSE","sp|P09055|ITB1_MOUSE","22","22","22","Integrin beta-1",1,22,22,22
"407","sp|P09103|PDIA1_MOUSE","sp|P09103|PDIA1_MOUSE","46","46","46","Protein disulfide-isomerase",1,46,46,46
"408","sp|P09405|NUCL_MOUSE","sp|P09405|NUCL_MOUSE","49","49","49","Nucleolin",1,49,49,49
"409","sp|P09411|PGK1_MOUSE;sp|P09041|PGK2_MOUSE","sp|P09411|PGK1_MOUSE","31;5","31;5","31;5","Phosphoglycerate kinase 1",2,31,31,31
"410","sp|P09470|ACE_MOUSE","sp|P09470|ACE_MOUSE","3","3","3","Angiotensin-converting enzyme",1,3,3,3
"411","sp|P09528|FRIH_MOUSE","sp|P09528|FRIH_MOUSE","16","16","16","Ferritin heavy chain",1,16,16,16
"412","sp|P09541|MYL4_MOUSE","sp|P09541|MYL4_MOUSE","11","11","9","Myosin light chain 4",1,11,11,9
"413","sp|P09542|MYL3_MOUSE","sp|P09542|MYL3_MOUSE","4","2","2","Myosin light chain 3",1,4,2,2
"414","sp|P09602|HMGN2_MOUSE","sp|P09602|HMGN2_MOUSE","7","7","7","Non-histone chromosomal protein HMG-17",1,7,7,7
"415","sp|P09671|SODM_MOUSE","sp|P09671|SODM_MOUSE","15","15","15","Superoxide dismutase [Mn], mitochondrial",1,15,15,15
"416","sp|Q3THW5|H2AV_MOUSE;sp|P0C0S6|H2AZ_MOUSE","sp|Q3THW5|H2AV_MOUSE;sp|P0C0S6|H2AZ_MOUSE","6;6","4;4","4;4","Histone H2A.V;Histone H2A.Z",2,6,4,4
"417","sp|P0CW03|LY6C2_MOUSE;sp|P0CW02|LY6C1_MOUSE","sp|P0CW03|LY6C2_MOUSE;sp|P0CW02|LY6C1_MOUSE","2;1","2;1","2;1","Lymphocyte antigen 6C2;Lymphocyte antigen 6C1",2,2,2,2
"418","sp|P0DN34|NDUB1_MOUSE","sp|P0DN34|NDUB1_MOUSE","2","2","2","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1",1,2,2,2
"419","sp|P0DOV2|IFI4_MOUSE","sp|P0DOV2|IFI4_MOUSE","10","7","3","Interferon-activable protein 204",1,10,7,3
"420","sp|P0DP28|CALM3_MOUSE;sp|P0DP27|CALM2_MOUSE;sp|P0DP26|CALM1_MOUSE;sp|Q9D6P8|CALL3_MOUSE;sp|P20801|TNNC2_MOUSE","sp|P0DP28|CALM3_MOUSE;sp|P0DP27|CALM2_MOUSE;sp|P0DP26|CALM1_MOUSE","12;12;12;4;1","12;12;12;4;1","12;12;12;4;1","Calmodulin-3;Calmodulin-2;Calmodulin-1",5,12,12,12
"421","sp|P10107|ANXA1_MOUSE","sp|P10107|ANXA1_MOUSE","49","49","49","Annexin A1",1,49,49,49
"422","sp|P10126|EF1A1_MOUSE","sp|P10126|EF1A1_MOUSE","31","31","19","Elongation factor 1-alpha 1",1,31,31,19
"423","sp|P10493|NID1_MOUSE","sp|P10493|NID1_MOUSE","21","21","21","Nidogen-1",1,21,21,21
"424","sp|P10518|HEM2_MOUSE","sp|P10518|HEM2_MOUSE","5","5","5","Delta-aminolevulinic acid dehydratase",1,5,5,5
"425","sp|P10605|CATB_MOUSE","sp|P10605|CATB_MOUSE","13","13","13","Cathepsin B",1,13,13,13
"426","sp|P10630|IF4A2_MOUSE","sp|P10630|IF4A2_MOUSE","16","5","5","Eukaryotic initiation factor 4A-II",1,16,5,5
"427","sp|P10639|THIO_MOUSE","sp|P10639|THIO_MOUSE","9","9","9","Thioredoxin",1,9,9,9
"428","sp|P10649|GSTM1_MOUSE","sp|P10649|GSTM1_MOUSE","28","28","19","Glutathione S-transferase Mu 1",1,28,28,19
"429","sp|P10711|TCEA1_MOUSE","sp|P10711|TCEA1_MOUSE","8","8","8","Transcription elongation factor A protein 1",1,8,8,8
"430","sp|P10833|RRAS_MOUSE","sp|P10833|RRAS_MOUSE","4","4","2","Ras-related protein R-Ras",1,4,4,2
"431","sp|P10852|4F2_MOUSE","sp|P10852|4F2_MOUSE","12","12","12","4F2 cell-surface antigen heavy chain",1,12,12,12
"432","sp|P10922|H10_MOUSE","sp|P10922|H10_MOUSE","18","18","18","Histone H1.0",1,18,18,18
"433","sp|P11031|TCP4_MOUSE","sp|P11031|TCP4_MOUSE","9","9","9","Activated RNA polymerase II transcriptional coactivator p15",1,9,9,9
"434","sp|P11032|GRAA_MOUSE","sp|P11032|GRAA_MOUSE","11","11","11","Granzyme A",1,11,11,11
"435","sp|P11087|CO1A1_MOUSE","sp|P11087|CO1A1_MOUSE","9","9","9","Collagen alpha-1(I) chain",1,9,9,9
"436","sp|P11103|PARP1_MOUSE","sp|P11103|PARP1_MOUSE","25","25","25","Poly [ADP-ribose] polymerase 1",1,25,25,25
"437","sp|P11247|PERM_MOUSE","sp|P11247|PERM_MOUSE","31","27","27","Myeloperoxidase",1,31,27,27
"438","sp|P11276|FINC_MOUSE","sp|P11276|FINC_MOUSE","17","17","17","Fibronectin",1,17,17,17
"439","sp|P11352|GPX1_MOUSE","sp|P11352|GPX1_MOUSE","15","15","15","Glutathione peroxidase 1",1,15,15,15
"440","sp|P11438|LAMP1_MOUSE","sp|P11438|LAMP1_MOUSE","6","6","6","Lysosome-associated membrane glycoprotein 1",1,6,6,6
"441","sp|P11499|HS90B_MOUSE;REV__sp|Q8BL66|EEA1_MOUSE","sp|P11499|HS90B_MOUSE","75;1","75;1","54;0","Heat shock protein HSP 90-beta",2,75,75,54
"442","sp|P11531|DMD_MOUSE","sp|P11531|DMD_MOUSE","2","2","2","Dystrophin",1,2,2,2
"443","sp|P11672|NGAL_MOUSE","sp|P11672|NGAL_MOUSE","5","5","5","Neutrophil gelatinase-associated lipocalin",1,5,5,5
"444","sp|P11679|K2C8_MOUSE;CON__H-INV:HIT000016045;CON__REFSEQ:XP_092267","sp|P11679|K2C8_MOUSE","52;4;1","44;2;1","24;0;0","Keratin, type II cytoskeletal 8",3,52,44,24
"445","sp|P11835|ITB2_MOUSE","sp|P11835|ITB2_MOUSE","39","39","39","Integrin beta-2",1,39,39,39
"446","sp|P11881|ITPR1_MOUSE","sp|P11881|ITPR1_MOUSE","4","4","2","Inositol 1,4,5-trisphosphate receptor type 1",1,4,4,2
"447","sp|P11928|OAS1A_MOUSE","sp|P11928|OAS1A_MOUSE","2","2","2","2-5-oligoadenylate synthase 1A",1,2,2,2
"448","sp|P11983|TCPA_MOUSE","sp|P11983|TCPA_MOUSE","26","26","26","T-complex protein 1 subunit alpha",1,26,26,26
"449","sp|P12265|BGLR_MOUSE","sp|P12265|BGLR_MOUSE","19","19","19","Beta-glucuronidase",1,19,19,19
"450","sp|P12367|KAP2_MOUSE","sp|P12367|KAP2_MOUSE","10","7","7","cAMP-dependent protein kinase type II-alpha regulatory subunit",1,10,7,7
"451","sp|P12382|PFKAL_MOUSE","sp|P12382|PFKAL_MOUSE","13","10","10","ATP-dependent 6-phosphofructokinase, liver type",1,13,10,10
"452","sp|P12710|FABPL_MOUSE","sp|P12710|FABPL_MOUSE","8","8","8","Fatty acid-binding protein, liver",1,8,8,8
"453","sp|P12787|COX5A_MOUSE","sp|P12787|COX5A_MOUSE","10","10","10","Cytochrome c oxidase subunit 5A, mitochondrial",1,10,10,10
"454","sp|P12791|CP2BA_MOUSE","sp|P12791|CP2BA_MOUSE","14","14","10","Cytochrome P450 2B10",1,14,14,10
"455","sp|P12815|PDCD6_MOUSE","sp|P12815|PDCD6_MOUSE","5","5","5","Programmed cell death protein 6",1,5,5,5
"456","sp|P12970|RL7A_MOUSE","sp|P12970|RL7A_MOUSE","24","24","24","60S ribosomal protein L7a",1,24,24,24
"457","sp|P13020|GELS_MOUSE","sp|P13020|GELS_MOUSE","27","27","14","Gelsolin",1,27,27,14
"458","sp|P13439|UMPS_MOUSE","sp|P13439|UMPS_MOUSE","4","4","4","Uridine 5-monophosphate synthase",1,4,4,4
"459","sp|P13541|MYH3_MOUSE;sp|A2AQP0|MYH7B_MOUSE","sp|P13541|MYH3_MOUSE","38;9","3;1","3;1","Myosin-3",2,38,3,3
"460","sp|P13597|ICAM1_MOUSE","sp|P13597|ICAM1_MOUSE","9","9","9","Intercellular adhesion molecule 1",1,9,9,9
